company_id,type,rule_id,text,confidence_pct,sentiment_score,sentiment_label
APOLLOHOSP,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,71,0.7906,Positive
APOLLOHOSP,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94,0.7351,Positive
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91,0.8402,Positive
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,69,0.3612,Positive
ASIANPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
ASIANPAINT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,65,0.802,Positive
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
ASIANPAINT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,67,0.7906,Positive
ASIANPAINT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76,0.7351,Positive
ASIANPAINT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77,0.8402,Positive
ASIANPAINT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
ATGL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77,0.6124,Positive
ATGL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72,0.802,Positive
ATGL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,66,-0.2551,Negative
ATGL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84,0.7351,Positive
ATGL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72,0.8402,Positive
ATGL,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,84,0.7351,Positive
AXISBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100,0.802,Positive
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100,0.7351,Positive
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94,0.8402,Positive
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,87,0.0,Neutral
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100,-0.0258,Neutral
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,66,0.3612,Positive
BAJAJ-AUTO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
BAJAJ-AUTO,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,72,0.7906,Positive
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71,0.8402,Positive
BAJAJ-AUTO,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,66,0.3612,Positive
BAJAJFINSV,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76,0.6124,Positive
BAJAJFINSV,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,89,0.7351,Positive
BAJAJFINSV,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72,0.802,Positive
BAJAJFINSV,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76,0.7351,Positive
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72,0.8402,Positive
BAJAJFINSV,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90,-0.1027,Negative
BAJAJFINSV,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
BAJAJHLDNG,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,98,0.6124,Positive
BAJAJHLDNG,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
BAJAJHLDNG,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
BAJAJHLDNG,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,71,0.7906,Positive
BAJAJHLDNG,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72,0.7351,Positive
BAJAJHLDNG,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
BAJAJHLDNG,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
BAJAJHLDNG,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86,0.0,Neutral
BAJFINANCE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83,0.6124,Positive
BAJFINANCE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,73,0.7351,Positive
BAJFINANCE,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,83,0.802,Positive
BAJFINANCE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
BAJFINANCE,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90,0.7351,Positive
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74,0.8402,Positive
BAJFINANCE,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90,-0.1027,Negative
BAJFINANCE,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
BAJFINANCE,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82,0.0,Neutral
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100,-0.0258,Neutral
BANKBARODA,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69,0.6124,Positive
BANKBARODA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,89,0.7351,Positive
BANKBARODA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100,0.802,Positive
BANKBARODA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100,0.7351,Positive
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100,0.8402,Positive
BANKBARODA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86,0.0,Neutral
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100,-0.0258,Neutral
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100,0.3612,Positive
BEL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
BEL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
BEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75,0.8402,Positive
BHARTIARTL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
BHARTIARTL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100,0.802,Positive
BHARTIARTL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100,0.7351,Positive
BHARTIARTL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,95,0.8402,Positive
BHARTIARTL,con,C1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,69,0.0,Neutral
BHEL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
BHEL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90,0.0,Neutral
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100,-0.0258,Neutral
BHEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,94,-0.4019,Negative
BOSCHLTD,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
BOSCHLTD,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
BOSCHLTD,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,76,0.7906,Positive
BOSCHLTD,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
BOSCHLTD,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72,0.8402,Positive
BOSCHLTD,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
BPCL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,76,0.802,Positive
BPCL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,67,-0.2551,Negative
BPCL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91,0.7351,Positive
BPCL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,87,0.8402,Positive
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100,0.3612,Positive
BRITANNIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,86,-0.2551,Negative
BRITANNIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74,0.8402,Positive
CANBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71,0.6124,Positive
CANBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,98,0.7351,Positive
CANBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100,0.802,Positive
CANBK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,74,0.7906,Positive
CANBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100,0.7351,Positive
CANBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
CANBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100,0.8402,Positive
CANBK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
CANBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,85,0.0,Neutral
CANBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100,-0.0258,Neutral
CHOLAFIN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78,0.6124,Positive
CHOLAFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,71,0.7351,Positive
CHOLAFIN,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71,0.802,Positive
CHOLAFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,87,-0.2551,Negative
CHOLAFIN,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79,0.7351,Positive
CHOLAFIN,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71,0.8402,Positive
CHOLAFIN,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90,-0.1027,Negative
CHOLAFIN,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
CHOLAFIN,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
CHOLAFIN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84,0.0,Neutral
CHOLAFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100,-0.0258,Neutral
CIPLA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
CIPLA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
CIPLA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,70,0.802,Positive
CIPLA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
CIPLA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78,0.7351,Positive
CIPLA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83,0.8402,Positive
CIPLA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
CIPLA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
COALINDIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100,0.3612,Positive
COALINDIA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
COALINDIA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
COALINDIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,67,-0.2551,Negative
COALINDIA,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,76,0.7906,Positive
COALINDIA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,68,0.7351,Positive
COALINDIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79,0.8402,Positive
COALINDIA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
DABUR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
DABUR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91,-0.2551,Negative
DABUR,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,72,0.7906,Positive
DABUR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
DIVISLAB,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,71,0.7351,Positive
DIVISLAB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
DIVISLAB,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
DIVISLAB,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80,0.5106,Positive
DLF,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
DLF,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,81,0.7351,Positive
DLF,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,67,0.7906,Positive
DLF,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
DLF,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,90,0.8402,Positive
DLF,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
DLF,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81,0.0,Neutral
DLF,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,95,-0.4019,Negative
DMART,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75,0.6124,Positive
DMART,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,70,0.802,Positive
DMART,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
DMART,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80,0.7351,Positive
DMART,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72,0.8402,Positive
DRREDDY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
DRREDDY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,71,0.7351,Positive
DRREDDY,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71,0.802,Positive
DRREDDY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
DRREDDY,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82,0.7351,Positive
DRREDDY,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
DRREDDY,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80,0.8402,Positive
EICHERMOT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
EICHERMOT,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,67,0.7351,Positive
EICHERMOT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
EICHERMOT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,77,0.7906,Positive
EICHERMOT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
EICHERMOT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71,0.8402,Positive
EICHERMOT,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
EICHERMOT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
GAIL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92,-0.2551,Negative
GAIL,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
GAIL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
GODREJCP,con,C4,Company reported a net loss in the most recent financial year,95,-0.3182,Negative
GRASIM,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,83,0.802,Positive
GRASIM,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90,0.7351,Positive
GRASIM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88,0.8402,Positive
GRASIM,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
GRASIM,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80,0.5106,Positive
GRASIM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65,0.0,Neutral
HAL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100,0.3612,Positive
HAL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,79,0.7351,Positive
HAL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,77,0.802,Positive
HAL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
HAL,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,68,0.7906,Positive
HAL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88,0.7351,Positive
HAL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,87,0.8402,Positive
HAL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
HAVELLS,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95,-0.2551,Negative
HAVELLS,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,68,0.7906,Positive
HCLTECH,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,68,0.3612,Positive
HCLTECH,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
HCLTECH,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
HCLTECH,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
HCLTECH,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
HDFCBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78,0.6124,Positive
HDFCBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
HDFCBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72,0.802,Positive
HDFCBANK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,76,0.7906,Positive
HDFCBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,65,0.7351,Positive
HDFCBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71,0.8402,Positive
HDFCBANK,con,C6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,66,0.4606,Positive
HDFCBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80,0.0,Neutral
HDFCBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100,-0.0258,Neutral
HDFCLIFE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77,0.6124,Positive
HDFCLIFE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
HDFCLIFE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
HDFCLIFE,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
HEROMOTOCO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
HEROMOTOCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
HEROMOTOCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
HEROMOTOCO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
HEROMOTOCO,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80,0.7003,Positive
HEROMOTOCO,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
HEROMOTOCO,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,73,-0.4019,Negative
HINDALCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
HINDALCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
HINDALCO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72,0.8402,Positive
HINDUNILVR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
HINDUNILVR,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
HINDUNILVR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
HINDUNILVR,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,76,0.7906,Positive
HINDUNILVR,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71,0.8402,Positive
HINDUNILVR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80,-0.2732,Negative
ICICIBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69,0.6124,Positive
ICICIBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
ICICIBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100,0.802,Positive
ICICIBANK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,72,0.7906,Positive
ICICIBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100,0.7351,Positive
ICICIBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
ICICIBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100,0.8402,Positive
ICICIBANK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80,-0.296,Negative
