company_id,type,rule_id,text,confidence_pct
APOLLOHOSP,pro,P14,EPS CAGR of 84.7% over 3 years indicates positive recent earnings growth,100
APOLLOHOSP,pro,P15,Operating margin improved from 12.4% to 12.6% in the latest year,75
APOLLOHOSP,con,C13,"Return on equity of 13.5% is below 15%, indicating room for improvement in shareholder capital efficiency",68
APOLLOHOSP,con,C16,P/E ratio of 47.7x indicates a relatively high valuation multiple and may limit margin of safety,82
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,69
ASIANPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ASIANPAINT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,65
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ASIANPAINT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,67
ASIANPAINT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
ASIANPAINT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77
ASIANPAINT,pro,P13,Revenue CAGR of 17.8% over 3 years indicates positive recent business growth,80
ASIANPAINT,pro,P14,EPS CAGR of 20.0% over 3 years indicates positive recent earnings growth,74
ASIANPAINT,pro,P15,Operating margin improved from 18.2% to 21.4% in the latest year,75
ASIANPAINT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
ASIANPAINT,con,C16,P/E ratio of 73.4x indicates a relatively high valuation multiple and may limit margin of safety,100
ATGL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
ATGL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
ATGL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,66
ATGL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84
ATGL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
ATGL,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
ATGL,pro,P13,Revenue CAGR of 38.2% over 3 years indicates positive recent business growth,100
ATGL,pro,P15,Operating margin improved from 19.9% to 24.7% in the latest year,75
ATGL,con,C16,P/E ratio of 57.0x indicates a relatively high valuation multiple and may limit margin of safety,91
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
AXISBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,94
AXISBANK,pro,P13,Revenue CAGR of 20.0% over 3 years indicates positive recent business growth,84
AXISBANK,pro,P14,EPS CAGR of 54.4% over 3 years indicates positive recent earnings growth,100
AXISBANK,pro,P15,Operating margin improved from 34.2% to 34.7% in the latest year,75
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,87
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
AXISBANK,con,C16,P/E ratio of 38.1x indicates a relatively high valuation multiple and may limit margin of safety,73
AXISBANK,con,C18,Negative free-cash-flow yield of -1.53% is a cash-flow watchpoint,80
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,66
BAJAJ-AUTO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJ-AUTO,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,72
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71
BAJAJ-AUTO,pro,P13,Revenue CAGR of 17.4% over 3 years indicates positive recent business growth,79
BAJAJ-AUTO,pro,P14,EPS CAGR of 18.0% over 3 years indicates positive recent earnings growth,70
BAJAJ-AUTO,pro,P15,Operating margin improved from 17.7% to 19.5% in the latest year,75
BAJAJ-AUTO,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
BAJAJ-AUTO,con,C14,"Five-year revenue CAGR of 8.1% is below 10%, indicating relatively moderate long-term growth",68
BAJAJ-AUTO,con,C17,Price-to-book ratio of 9.8x indicates a relatively high valuation versus reported book value,68
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,66
BAJAJFINSV,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
BAJAJFINSV,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
BAJAJFINSV,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
BAJAJFINSV,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BAJAJFINSV,pro,P13,Revenue CAGR of 22.1% over 3 years indicates positive recent business growth,89
BAJAJFINSV,pro,P14,EPS CAGR of 22.1% over 3 years indicates positive recent earnings growth,79
BAJAJFINSV,pro,P15,Operating margin improved from 36.4% to 37.0% in the latest year,75
BAJAJFINSV,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJAJFINSV,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
BAJAJFINSV,con,C18,Negative free-cash-flow yield of -4.18% is a cash-flow watchpoint,80
BAJAJFINSV,con,C19,"Cash-flow quality is classified as Accrual Risk, indicating earnings require closer cash-conversion review",80
BAJAJHLDNG,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,98
BAJAJHLDNG,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJHLDNG,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,71
BAJAJHLDNG,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
BAJAJHLDNG,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BAJAJHLDNG,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
BAJAJHLDNG,pro,P13,Revenue CAGR of 55.0% over 3 years indicates positive recent business growth,100
BAJAJHLDNG,pro,P14,EPS CAGR of 25.8% over 3 years indicates positive recent earnings growth,86
BAJAJHLDNG,pro,P15,Operating margin improved from 72.8% to 91.8% in the latest year,75
BAJAJHLDNG,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
BAJAJHLDNG,con,C13,"Return on equity of 13.6% is below 15%, indicating room for improvement in shareholder capital efficiency",67
BAJAJHLDNG,con,C16,P/E ratio of 37.7x indicates a relatively high valuation multiple and may limit margin of safety,72
BAJAJHLDNG,con,C17,Price-to-book ratio of 9.4x indicates a relatively high valuation versus reported book value,67
BAJAJHLDNG,con,C19,"Cash-flow quality is classified as Accrual Risk, indicating earnings require closer cash-conversion review",80
BAJFINANCE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83
BAJFINANCE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
BAJFINANCE,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,83
BAJFINANCE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJFINANCE,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74
BAJFINANCE,pro,P13,Revenue CAGR of 27.3% over 3 years indicates positive recent business growth,99
BAJFINANCE,pro,P14,EPS CAGR of 47.2% over 3 years indicates positive recent earnings growth,100
BAJFINANCE,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJFINANCE,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BAJFINANCE,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BAJFINANCE,con,C16,P/E ratio of 69.2x indicates a relatively high valuation multiple and may limit margin of safety,100
BAJFINANCE,con,C18,Negative free-cash-flow yield of -3.23% is a cash-flow watchpoint,80
BAJFINANCE,con,C19,"Cash-flow quality is classified as Accrual Risk, indicating earnings require closer cash-conversion review",80
BANKBARODA,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69
BANKBARODA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
BANKBARODA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BANKBARODA,pro,P13,Revenue CAGR of 16.8% over 3 years indicates positive recent business growth,78
BANKBARODA,pro,P14,EPS CAGR of 128.9% over 3 years indicates positive recent earnings growth,100
BANKBARODA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BANKBARODA,con,C18,Negative free-cash-flow yield of -1.28% is a cash-flow watchpoint,80
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BEL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BEL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BEL,pro,P13,Revenue CAGR of 12.8% over 3 years indicates positive recent business growth,70
BEL,pro,P14,EPS CAGR of 18.6% over 3 years indicates positive recent earnings growth,72
BEL,pro,P15,Operating margin improved from 23.1% to 24.9% in the latest year,75
BEL,con,C17,Price-to-book ratio of 9.2x indicates a relatively high valuation versus reported book value,67
BEL,con,C18,Negative free-cash-flow yield of -0.09% is a cash-flow watchpoint,80
BHARTIARTL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BHARTIARTL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BHARTIARTL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHARTIARTL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,95
BHARTIARTL,pro,P13,Revenue CAGR of 14.2% over 3 years indicates positive recent business growth,73
BHARTIARTL,pro,P15,Operating margin improved from 51.2% to 52.2% in the latest year,75
BHARTIARTL,con,C1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,69
BHARTIARTL,con,C13,"Return on equity of 10.4% is below 15%, indicating room for improvement in shareholder capital efficiency",74
BHARTIARTL,con,C16,P/E ratio of 63.8x indicates a relatively high valuation multiple and may limit margin of safety,98
BHEL,pro,P13,Revenue CAGR of 11.3% over 3 years indicates positive recent business growth,67
BHEL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
BHEL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BHEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,94
BHEL,con,C13,"Return on equity of 1.2% is below 15%, indicating room for improvement in shareholder capital efficiency",92
BHEL,con,C14,"Five-year revenue CAGR of -4.7% is below 10%, indicating relatively moderate long-term growth",94
BHEL,con,C17,Price-to-book ratio of 11.4x indicates a relatively high valuation versus reported book value,71
BHEL,con,C18,Negative free-cash-flow yield of -0.44% is a cash-flow watchpoint,80
BHEL,con,C19,"Cash-flow quality is classified as Accrual Risk, indicating earnings require closer cash-conversion review",80
BOSCHLTD,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BOSCHLTD,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BOSCHLTD,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,76
BOSCHLTD,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BOSCHLTD,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BOSCHLTD,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
BOSCHLTD,pro,P13,Revenue CAGR of 19.8% over 3 years indicates positive recent business growth,84
BOSCHLTD,pro,P14,EPS CAGR of 72.6% over 3 years indicates positive recent earnings growth,100
BOSCHLTD,pro,P15,Operating margin improved from 12.1% to 12.5% in the latest year,75
BOSCHLTD,con,C14,"Five-year revenue CAGR of 6.7% is below 10%, indicating relatively moderate long-term growth",71
BOSCHLTD,con,C16,P/E ratio of 58.4x indicates a relatively high valuation multiple and may limit margin of safety,93
BPCL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
BPCL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,67
BPCL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91
BPCL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,87
BPCL,pro,P13,Revenue CAGR of 24.9% over 3 years indicates positive recent business growth,94
BPCL,pro,P14,EPS CAGR of 18.8% over 3 years indicates positive recent earnings growth,72
BPCL,pro,P15,Operating margin improved from 2.3% to 9.8% in the latest year,75
BPCL,con,C14,"Five-year revenue CAGR of 8.5% is below 10%, indicating relatively moderate long-term growth",68
BPCL,con,C16,P/E ratio of 68.2x indicates a relatively high valuation multiple and may limit margin of safety,100
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BRITANNIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,86
BRITANNIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74
BRITANNIA,pro,P15,Operating margin improved from 17.4% to 18.9% in the latest year,75
BRITANNIA,con,C14,"Five-year revenue CAGR of 8.7% is below 10%, indicating relatively moderate long-term growth",67
BRITANNIA,con,C16,P/E ratio of 63.9x indicates a relatively high valuation multiple and may limit margin of safety,98
CANBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
CANBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
CANBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
CANBK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,74
CANBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
CANBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
CANBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
CANBK,pro,P13,Revenue CAGR of 16.3% over 3 years indicates positive recent business growth,77
CANBK,pro,P14,EPS CAGR of 62.0% over 3 years indicates positive recent earnings growth,100
CANBK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
CANBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,85
CANBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CANBK,con,C16,P/E ratio of 36.7x indicates a relatively high valuation multiple and may limit margin of safety,71
CANBK,con,C17,Price-to-book ratio of 12.6x indicates a relatively high valuation versus reported book value,74
CHOLAFIN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78
CHOLAFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
CHOLAFIN,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
CHOLAFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,87
CHOLAFIN,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
CHOLAFIN,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71
CHOLAFIN,pro,P13,Revenue CAGR of 26.0% over 3 years indicates positive recent business growth,96
CHOLAFIN,pro,P14,EPS CAGR of 29.2% over 3 years indicates positive recent earnings growth,93
CHOLAFIN,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
CHOLAFIN,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
CHOLAFIN,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
CHOLAFIN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84
CHOLAFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CHOLAFIN,con,C17,Price-to-book ratio of 10.4x indicates a relatively high valuation versus reported book value,69
CHOLAFIN,con,C18,Negative free-cash-flow yield of -3.97% is a cash-flow watchpoint,80
CHOLAFIN,con,C19,"Cash-flow quality is classified as Accrual Risk, indicating earnings require closer cash-conversion review",80
CIPLA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
CIPLA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
CIPLA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
CIPLA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
CIPLA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78
CIPLA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83
CIPLA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
CIPLA,pro,P13,Revenue CAGR of 10.4% over 3 years indicates positive recent business growth,65
CIPLA,pro,P14,EPS CAGR of 19.3% over 3 years indicates positive recent earnings growth,73
CIPLA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
CIPLA,con,C14,"Five-year revenue CAGR of 9.5% is below 10%, indicating relatively moderate long-term growth",65
CIPLA,con,C16,P/E ratio of 59.8x indicates a relatively high valuation multiple and may limit margin of safety,94
COALINDIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
COALINDIA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COALINDIA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
COALINDIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,67
COALINDIA,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,76
COALINDIA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,68
COALINDIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79
COALINDIA,pro,P13,Revenue CAGR of 16.5% over 3 years indicates positive recent business growth,77
COALINDIA,pro,P14,EPS CAGR of 42.7% over 3 years indicates positive recent earnings growth,100
COALINDIA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
COALINDIA,con,C14,"Five-year revenue CAGR of 7.4% is below 10%, indicating relatively moderate long-term growth",70
COALINDIA,con,C16,P/E ratio of 34.3x indicates a relatively high valuation multiple and may limit margin of safety,69
COALINDIA,con,C17,Price-to-book ratio of 14.8x indicates a relatively high valuation versus reported book value,78
DABUR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DABUR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
DABUR,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,72
DABUR,pro,P15,Operating margin improved from 18.8% to 19.3% in the latest year,75
DABUR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
DABUR,con,C14,"Five-year revenue CAGR of 7.8% is below 10%, indicating relatively moderate long-term growth",69
DABUR,con,C16,P/E ratio of 51.0x indicates a relatively high valuation multiple and may limit margin of safety,85
DABUR,con,C17,Price-to-book ratio of 13.6x indicates a relatively high valuation versus reported book value,76
DIVISLAB,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
DIVISLAB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
DIVISLAB,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
DIVISLAB,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
DIVISLAB,con,C13,"Return on equity of 11.8% is below 15%, indicating room for improvement in shareholder capital efficiency",71
DIVISLAB,con,C14,"Five-year revenue CAGR of 9.7% is below 10%, indicating relatively moderate long-term growth",65
